time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
3.80784,-0.303032,-0.0429461,1.55882,0.00663921,0.0110331,-0.00363684,0.99991,0.0133611,0.0220178,-0.00742139
3.81774,-0.302919,-0.0431856,1.55877,0.00665081,0.0103786,-0.00361262,0.999918,0.0133788,0.020709,-0.00736434
3.82769,-0.302839,-0.043437,1.55869,0.00710394,0.00978479,-0.00387774,0.999919,0.0142858,0.0195141,-0.00789547
3.83773,-0.302703,-0.0436872,1.55869,0.00726452,0.00920402,-0.00404304,0.999923,0.0146053,0.0183489,-0.00822066
3.84777,-0.302491,-0.043873,1.55867,0.0077427,0.00776025,-0.00443862,0.99993,0.0155557,0.0154513,-0.00899798
3.85767,-0.302376,-0.0442196,1.55865,0.0075197,0.00696708,-0.00427602,0.999938,0.0151001,0.0138694,-0.00865724
3.86769,-0.302251,-0.0446654,1.5587,0.00603609,0.00725025,-0.00354267,0.999949,0.0121245,0.0144575,-0.00717331
3.87775,-0.302148,-0.0450474,1.55871,0.00432886,0.00802652,-0.00293229,0.999954,0.00870563,0.0160276,-0.00593461
3.8877,-0.302087,-0.0452763,1.55862,0.00433483,0.00779666,-0.00326603,0.999955,0.00872136,0.0155649,-0.00660021
3.89769,-0.301997,-0.0454837,1.55853,0.00483618,0.0072342,-0.00372845,0.999955,0.00972704,0.0144322,-0.0075274
3.90775,-0.30202,-0.045767,1.55849,0.00407458,0.00750423,-0.00449208,0.999953,0.00821721,0.0149717,-0.00904604
3.9178,-0.302082,-0.0461916,1.55845,0.0023898,0.00799426,-0.00444404,0.999955,0.00485108,0.0159672,-0.00892715
3.92783,-0.302008,-0.0465582,1.55849,0.00039157,0.00802577,-0.00467776,0.999957,0.000858301,0.0160479,-0.00936273
3.9378,-0.301907,-0.046827,1.55852,-0.00114548,0.00743541,-0.00484031,0.99996,3.13937,3.12671,3.13193
3.94774,-0.301799,-0.0473029,1.55859,-0.00439816,0.00730913,-0.00433268,0.999954,3.13286,3.12694,3.13299
3.95784,-0.301798,-0.0478365,1.55865,-0.00811351,0.00804208,-0.00343147,0.999929,3.12542,3.12545,3.13486
3.96778,-0.301824,-0.0480784,1.5585,-0.00950392,0.00756032,-0.00356589,0.99992,3.12264,3.1264,3.1346
3.97778,-0.301827,-0.0482637,1.55837,-0.00984696,0.00652913,-0.00377152,0.999923,3.12195,3.12846,3.13418
3.9878,-0.301825,-0.0484455,1.55832,-0.010042,0.00522433,-0.0036895,0.999929,3.12155,3.13107,3.13432
3.99782,-0.301801,-0.0485759,1.55825,-0.00994747,0.00402403,-0.00335204,0.999937,3.12172,3.13348,3.13497
4.00789,-0.301853,-0.0486709,1.5581,-0.0088082,0.00300154,-0.0032759,0.999951,3.124,3.13553,3.13509
4.01774,-0.301924,-0.0487043,1.55795,-0.00691737,0.00209572,-0.00331222,0.999968,3.12777,3.13736,3.135
4.0277,-0.301955,-0.048836,1.55797,-0.00582509,0.00211168,-0.00293298,0.999977,3.12995,3.13734,3.13575
4.03775,-0.302072,-0.0487861,1.55788,-0.00324059,0.00130643,-0.00307816,0.999989,3.13512,3.13896,3.13544
4.0477,-0.302283,-0.0488648,1.55784,-0.00164499,0.00181922,-0.00294765,0.999993,3.13831,3.13794,3.1357
4.05778,-0.302422,-0.048808,1.55774,0.00142534,0.00178556,-0.00276473,0.999994,0.00286055,0.00356323,-0.00553457
4.0678,-0.302711,-0.0488826,1.55768,0.00382767,0.00295155,-0.00273767,0.999985,0.00767158,0.00588208,-0.00549797
4.07788,-0.303003,-0.0489241,1.55762,0.00584681,0.00460071,-0.00334881,0.999967,0.0117248,0.00916208,-0.00675153
4.08771,-0.303457,-0.04899,1.55757,0.00811344,0.00743785,-0.00400546,0.999931,0.0162879,0.0148102,-0.00813204
4.09767,-0.303831,-0.0491677,1.5576,0.00924126,0.0100606,-0.00424176,0.999898,0.0185708,0.0200421,-0.00867045
4.10772,-0.304226,-0.0494736,1.55773,0.00837777,0.0134292,-0.00397555,0.999867,0.0168669,0.0267914,-0.00817808
4.11771,-0.304535,-0.0496186,1.55785,0.00799012,0.0156224,-0.00404457,0.999838,0.0161125,0.0311801,-0.00834164
4.12774,-0.304768,-0.0497144,1.55802,0.0071282,0.0175294,-0.00467676,0.99981,0.014427,0.0349926,-0.00960769
4.13778,-0.304956,-0.0500211,1.55826,0.00457956,0.0195263,-0.00492794,0.999787,0.00935687,0.039009,-0.0100404
4.14768,-0.305086,-0.0502471,1.55841,0.00267317,0.0201501,-0.00523328,0.99978,0.0055606,0.0402743,-0.0105808
4.15774,-0.305267,-0.0506113,1.55863,-0.000480787,0.0213594,-0.00531337,0.999758,3.14086,3.09887,3.13098
4.16774,-0.305393,-0.050904,1.55883,-0.00351588,0.0221621,-0.00561714,0.999732,3.13481,3.09723,3.13051
4.17765,-0.305375,-0.0511769,1.55903,-0.0062869,0.0219148,-0.00517876,0.999727,3.12924,3.0977,3.1315
4.18775,-0.305463,-0.0514164,1.5592,-0.00906199,0.0219153,-0.00519989,0.999705,3.12368,3.09767,3.13158
4.1977,-0.305518,-0.0515818,1.55941,-0.0112661,0.0214936,-0.00526467,0.999692,3.11927,3.09849,3.13154
4.20772,-0.305634,-0.0516805,1.5595,-0.0127565,0.0210435,-0.00564872,0.999681,3.1163,3.09936,3.13083
4.21772,-0.305714,-0.0518309,1.55961,-0.0147772,0.0213739,-0.00579149,0.999646,3.11227,3.09868,3.13064
4.2277,-0.305643,-0.0519519,1.55976,-0.016446,0.021337,-0.00520705,0.999623,3.1089,3.09875,3.13188
4.23768,-0.305585,-0.0519878,1.5599,-0.0174427,0.0211711,-0.00471707,0.999613,3.10688,3.09909,3.13289
4.24767,-0.305704,-0.0518515,1.55992,-0.0170939,0.0223498,-0.00489619,0.999592,3.1076,3.09673,3.13256
4.25779,-0.305617,-0.0517935,1.55999,-0.0165038,0.0229329,-0.00434432,0.999591,3.10876,3.09559,3.13366
4.26777,-0.305578,-0.0514861,1.55987,-0.0133728,0.0223194,-0.00452275,0.999651,3.11503,3.09683,3.13314
4.27787,-0.305488,-0.0513308,1.55987,-0.0119178,0.0225799,-0.00448284,0.999664,3.11794,3.09633,3.13316
4.28791,-0.305422,-0.0511454,1.55988,-0.0101488,0.0230629,-0.00439968,0.999673,3.12148,3.09538,3.13326
4.29776,-0.305353,-0.05094,1.55983,-0.00831068,0.0237375,-0.00431098,0.999674,3.12516,3.09404,3.13336
4.30774,-0.30527,-0.0507723,1.55978,-0.00724602,0.0250428,-0.00401673,0.999652,3.12729,3.09145,3.13392
4.3177,-0.305123,-0.0505437,1.55968,-0.0056168,0.025714,-0.00389421,0.999646,3.13055,3.09012,3.13409
4.32778,-0.304983,-0.0503373,1.55955,-0.00407292,0.0258883,-0.00376993,0.999649,3.13363,3.08978,3.13426
4.33768,-0.304773,-0.0500964,1.55942,-0.00278485,0.0258004,-0.00385244,0.999656,3.13622,3.08997,3.13402
4.34772,-0.304517,-0.0498277,1.55927,-0.00221245,0.0256366,-0.00397013,0.999661,3.13737,3.0903,3.13376
4.35783,-0.304202,-0.0495442,1.5591,-0.00175787,0.0246766,-0.00430608,0.999685,3.13829,3.09222,3.13306
4.36774,-0.303831,-0.0492438,1.55895,-0.00138033,0.0232983,-0.0047222,0.999716,3.13905,3.09498,3.13221
4.37766,-0.303463,-0.0490931,1.55887,-0.00173388,0.022182,-0.00433633,0.999743,3.13831,3.09721,3.13299
4.3878,-0.303075,-0.0488648,1.55879,-0.00156336,0.0205744,-0.00418764,0.999778,3.13864,3.10043,3.13328
4.39775,-0.302459,-0.0484877,1.5587,-0.000326348,0.017332,-0.00474551,0.999838,3.1411,3.10692,3.13211
4.4078,-0.301925,-0.0482874,1.55855,-4.12982e-05,0.0140879,-0.00388201,0.999893,2.68016e-05,0.0281768,-0.00776519
4.41775,-0.301526,-0.0480623,1.55845,-0.000585578,0.0110391,-0.00386003,0.999931,3.14051,3.11951,3.13388
4.42778,-0.300994,-0.0477739,1.55835,-0.000465997,0.00717927,-0.00341571,0.999968,3.14071,3.12723,3.13477
4.43783,-0.30063,-0.0475952,1.55824,-0.000786924,0.00448106,-0.00286773,0.999986,3.14004,3.13263,3.13586
4.44793,-0.300206,-0.0472027,1.55806,0.00113359,0.00110837,-0.00279483,0.999995,0.00227337,0.0022104,-0.00559218
4.45774,-0.299849,-0.0468431,1.55793,0.00316854,-0.00188888,-0.00255234,0.99999,0.00632746,-0.00379391,-0.00509271
4.46796,-0.299489,-0.0464847,1.55784,0.00530809,-0.00486198,-0.00236438,0.999971,0.0105936,-0.00974894,-0.00467726
4.47781,-0.299182,-0.0461274,1.55763,0.00809088,-0.00824186,-0.00216236,0.999931,0.0161479,-0.0165183,-0.00419163
4.48782,-0.298909,-0.0457633,1.55749,0.0110741,-0.0105169,-0.00230397,0.999881,0.0221038,-0.0210838,-0.00437545
4.49776,-0.298831,-0.0457105,1.55751,0.0125194,-0.0102182,-0.00122759,0.999869,0.0250183,-0.0204659,-0.00219946
4.50782,-0.298811,-0.0454353,1.55737,0.0154813,-0.0105564,-0.00116053,0.999824,0.0309446,-0.0211467,-0.00199425
