time,x,y,z,qx,qy,qz,qw,roll,pitch,yaw
1.12548,-0.0124455,-0.00143365,1.50389,0.0212789,0.00403026,0.00291204,0.999761,0.0425385,0.00818263,0.00565139
1.13565,-0.0126107,-0.00160387,1.50389,0.0209295,0.00427396,0.00288354,0.999768,0.0418383,0.00866675,0.00558708
1.14547,-0.0127617,-0.00175522,1.50394,0.0205714,0.00452716,0.00285535,0.999774,0.041121,0.00916989,0.0055234
1.1556,-0.0129003,-0.00189451,1.50401,0.0202071,0.004786,0.00282577,0.99978,0.0403911,0.00968425,0.00545716
1.16566,-0.0130201,-0.00201587,1.50411,0.0198394,0.00504663,0.00279584,0.999787,0.0396546,0.0102022,0.00539055
1.17581,-0.0131267,-0.00211835,1.50423,0.0194742,0.00530883,0.0027635,0.999792,0.0389231,0.0107233,0.00531942
1.18564,-0.0132149,-0.00221968,1.50435,0.019133,0.00557569,0.00272746,0.999798,0.0382396,0.0112537,0.00524082
1.19549,-0.0132892,-0.00229488,1.5045,0.0188027,0.00583248,0.00269936,0.999803,0.0375779,0.0117644,0.00517871
1.2055,-0.0133635,-0.002351,1.50466,0.0184972,0.0060943,0.0026727,0.999807,0.036966,0.0122854,0.00511932
1.21557,-0.013423,-0.00238906,1.50483,0.0182094,0.00634721,0.00264918,0.999811,0.0363894,0.0127888,0.00506663
1.22547,-0.0134765,-0.00239366,1.50503,0.0179237,0.00657483,0.0026286,0.999814,0.035817,0.0132418,0.00502099
1.23552,-0.0135154,-0.00236746,1.50522,0.0176771,0.00684174,0.00256759,0.999817,0.0353233,0.0137722,0.00489285
1.24548,-0.0135259,-0.00233836,1.50542,0.0174299,0.0070288,0.00252803,0.99982,0.0348286,0.0141437,0.00481062
1.25551,-0.0135342,-0.00229672,1.50561,0.0171779,0.00720399,0.00248779,0.999823,0.0343242,0.0144914,0.00472772
1.26545,-0.0135541,-0.0022507,1.50575,0.0169343,0.00744446,0.00244496,0.999826,0.0338366,0.0149697,0.00463747
1.27553,-0.0135523,-0.00216581,1.50593,0.0167136,0.00765744,0.00240254,0.999828,0.0333949,0.0153932,0.00454883
1.28544,-0.013547,-0.00209924,1.50607,0.0165195,0.0078239,0.00240204,0.99983,0.0330058,0.0157251,0.00454534
1.29553,-0.01353,-0.00202098,1.5062,0.0163795,0.00798889,0.00240093,0.999831,0.0327251,0.0160544,0.00453994
1.30555,-0.0135027,-0.00192563,1.50632,0.0162856,0.00815235,0.00240408,0.999831,0.0325365,0.016381,0.00454244
1.31549,-0.0134636,-0.00181625,1.50644,0.0162247,0.00829041,0.0024119,0.999831,0.0324142,0.016657,0.0045546
1.32543,-0.013414,-0.00168771,1.50654,0.0161785,0.00840099,0.00242144,0.999831,0.032321,0.0168783,0.00457091
1.33553,-0.0133569,-0.00154308,1.50664,0.0161402,0.00847105,0.00243707,0.999831,0.032244,0.0170187,0.00460054
